"AGOSTINO, Daniela Beatriz",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,dagostino@legisrn.gov.ar
"BALLESTER, Leonardo Alberto",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,lballester@legisrn.gov.ar
"BANEGA, Irma",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,ibanega@legisrn.gov.ar
"BARRAGAN, Jorge Raúl",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,jbarragan@legisrn.gov.ar
"BARTORELLI, Luis Mario",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,lbartorelli@legisrn.gov.ar
"BERARDI, Darío César",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,dberardi@legisrn.gov.ar
"BETELU, Alejandro",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,abetelu@legisrn.gov.ar
"CARRERAS, Arabela Marisa",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,acarreras@legisrn.gov.ar
"CASADEI, Adrián Jorge",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,acasadei@legisrn.gov.ar
"CATALAN, Marcos Osvaldo",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,mcatalan@legisrn.gov.ar
"CONTRERAS, Beatriz del Carmen",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,bcontreras@legisrn.gov.ar
"DELLAPITIMA, Norma Susana",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,ndellapitima@legisrn.gov.ar
"DIEGUEZ, Susana Isabel",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,sdieguez@legisrn.gov.ar
"DOÑATE, Claudio Martín",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,cdonate@legisrn.gov.ar
"ESQUIVEL, Luis María",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,lesquivel@legisrn.gov.ar
"FERNANDEZ, Roxana Celia",BLOQUE ALIANZA FRENTE PARA LA VICTORIA- Presidente -,rfernandez@legisrn.gov.ar
"FUNES, Héctor Hugo",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,hfunes@legisrn.gov.ar
"GARRONE, Juan Domingo",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,jgarrone@legisrn.gov.ar
"GEMIGNANI, María Liliana",BLOQUE ALIANZA FRENTE PARA LA VICTORIA,mgemignani@legisrn.gov.ar
"GOMEZ RICCA, Matías Alberto",BLOQUE ALIANZA CONCERTACION PARA EL DESARROLLO,mgomez@legisrn.gov.ar
